,Test set mean_absolute_error,Training set mean_absolute_error,Training set size,Mean absolute error
0,18.23587929498129,5.521472207831186,60,18.23587929498129
1,21.29159563736323,5.1314307504975485,60,21.29159563736323
2,19.349094486566493,4.666696924828925,60,19.349094486566493
3,22.36388561258667,4.861009135816346,60,22.36388561258667
4,14.71618933686584,4.884847177476101,60,14.71618933686584
5,25.01061462690526,4.367305481064183,60,25.01061462690526
6,21.7709959245112,4.066733555775632,60,21.7709959245112
7,20.72577015224666,5.330941777109496,60,20.72577015224666
8,14.518491105658784,5.226175311610949,60,14.518491105658784
9,23.79228500336871,5.012240464847335,60,23.79228500336871
10,22.2235991473211,4.454949452893658,60,22.2235991473211
11,18.582816556784994,5.134614686684897,60,18.582816556784994
12,18.69861860177063,5.147276244072544,60,18.69861860177063
13,23.822956810646797,5.040710468724905,60,23.822956810646797
14,17.571889782729713,5.175720124680344,60,17.571889782729713
15,13.865680283941654,4.699197399247956,60,13.865680283941654
16,21.421389465315215,4.3560110829664085,60,21.421389465315215
17,17.001317367074794,4.969514311490192,60,17.001317367074794
18,15.859142522019742,5.358556997967239,60,15.859142522019742
19,29.86502608848163,4.893204341889658,60,29.86502608848163
20,20.61746421871324,4.89470983275299,60,20.61746421871324
21,19.146731386085442,5.531564936970812,60,19.146731386085442
22,20.538463114061013,4.54404076017283,60,20.538463114061013
23,11.063180550940002,4.793260684626555,60,11.063180550940002
24,26.46451913436586,4.503037954521669,60,26.46451913436586
25,13.883171863005087,5.754930170670115,60,13.883171863005087
26,25.4892075436068,4.678486485908695,60,25.4892075436068
27,24.1678140302584,4.516032345531758,60,24.1678140302584
28,14.420857864936732,5.630726303416296,60,14.420857864936732
29,24.151344848386195,4.90418565076232,60,24.151344848386195
30,21.38717939210643,5.347197914301842,60,21.38717939210643
31,14.99357081336794,5.208542162838517,60,14.99357081336794
32,17.39397535498221,4.907808243968707,60,17.39397535498221
33,24.40517952887137,4.76337459071885,60,24.40517952887137
34,17.327317177646172,5.108493578232924,60,17.327317177646172
35,22.75437799912896,4.042148112332209,60,22.75437799912896
36,14.770890785023438,5.390215295210021,60,14.770890785023438
37,20.75946254728911,5.326282716719091,60,20.75946254728911
38,17.186329125180983,5.064049957032705,60,17.186329125180983
39,26.29305038108599,4.168628989638718,60,26.29305038108599
40,21.264353378410156,4.8240427158701635,60,21.264353378410156
41,16.394958926737598,5.919385573933078,60,16.394958926737598
42,25.12265422594788,4.6621993299507825,60,25.12265422594788
43,23.90474780289748,4.265317682054942,60,23.90474780289748
44,20.8880336688498,4.492887247373828,60,20.8880336688498
45,17.003968873529278,5.0840552183616365,60,17.003968873529278
46,20.320370037222627,5.298718250691966,60,20.320370037222627
47,18.48174026675588,4.600562638539908,60,18.48174026675588
48,13.831889293632427,5.585045500467915,60,13.831889293632427
49,26.236488051725814,4.5393161339629335,60,26.236488051725814
50,15.961095826830789,5.214814203574211,75,15.961095826830789
51,21.194227842398497,4.985727767521221,75,21.194227842398497
52,19.572639088253357,4.40428912129678,75,19.572639088253357
