,Test set mean_absolute_error,Training set mean_absolute_error,Training set size,Mean absolute error
0,22.201524789368527,0.14172550679071355,60,22.201524789368527
1,18.753879581816385,0.1361125823975807,60,18.753879581816385
2,22.35639957014494,0.1322597547567445,60,22.35639957014494
3,24.09954178350921,0.12198083723295232,60,24.09954178350921
4,13.352846691613632,0.136804554940103,60,13.352846691613632
5,27.617350292986593,0.14269677316930543,60,27.617350292986593
6,21.35160314657538,0.13580864862588282,60,21.35160314657538
7,14.217159159703591,0.13562187619792757,60,14.217159159703591
8,17.44689336369675,0.13055174561013552,60,17.44689336369675
9,19.21708684834565,0.13485574299204614,60,19.21708684834565
10,21.752655497145415,0.12875206666211664,60,21.752655497145415
11,21.03109835128336,0.14247371500322908,60,21.03109835128336
12,16.4993728760272,0.11220344324731156,60,16.4993728760272
13,21.20049018092015,0.13738088597580814,60,21.20049018092015
14,19.443143155814184,0.132069231015616,60,19.443143155814184
15,16.152103729481123,0.14857724458419197,60,16.152103729481123
16,19.12710671201392,0.13487464997885618,60,19.12710671201392
17,20.434262292950237,0.13967969462734742,60,20.434262292950237
18,20.298962901962952,0.14742426341456044,60,20.298962901962952
19,19.477068665535892,0.12440260664497617,60,19.477068665535892
20,19.270548109835996,0.14186264944835514,60,19.270548109835996
21,14.500646060373214,0.1379685464165014,60,14.500646060373214
22,23.693695357981856,0.12488037121239588,60,23.693695357981856
23,19.968034433510656,0.1410455999883172,60,19.968034433510656
24,23.884867142504024,0.12892586090602678,60,23.884867142504024
25,23.23699117231439,0.12133443489796601,60,23.23699117231439
26,15.42120426242089,0.13377869047694588,60,15.42120426242089
27,22.968884768930725,0.1284166776640826,60,22.968884768930725
28,22.1114645728344,0.13350914142197476,60,22.1114645728344
29,18.43797758376413,0.13953343447317296,60,18.43797758376413
30,16.79883482866829,0.1507546635650986,60,16.79883482866829
31,13.963048012606132,0.1284861797832129,60,13.963048012606132
32,23.88751735309948,0.12903797101343503,60,23.88751735309948
33,19.638811022068353,0.14386187175079576,60,19.638811022068353
34,24.472797712539474,0.12713208236362525,60,24.472797712539474
35,24.214153636985024,0.12574414408197293,60,24.214153636985024
36,17.239974957483412,0.1335601161369811,60,17.239974957483412
37,23.74271933023237,0.13045729580573256,60,23.74271933023237
38,13.927982106956161,0.1441752724021434,60,13.927982106956161
39,20.308777919271954,0.14152076621214935,60,20.308777919271954
40,16.806313532352245,0.14964329240410576,60,16.806313532352245
41,21.5536230978369,0.1405282778391469,60,21.5536230978369
42,20.55776326232998,0.14259988399929638,60,20.55776326232998
43,18.565154126460378,0.13818169912590025,60,18.565154126460378
44,22.155929747387443,0.13034641349971093,60,22.155929747387443
45,15.181740125388703,0.13654013570225743,60,15.181740125388703
46,15.809328920302438,0.1422070149732934,60,15.809328920302438
47,25.225805594678896,0.13135178259098026,60,25.225805594678896
48,22.45703709269672,0.13513407495884552,60,22.45703709269672
49,22.110932505168122,0.12182011704386402,60,22.110932505168122
50,19.92208862588434,0.17243790859343505,75,19.92208862588434
51,16.53833761126372,0.1714085298518848,75,16.53833761126372
52,21.999824630114095,0.16202800095725584,75,21.999824630114095
53,24.83580500657539,0.15113181225238567,75,24.83580500657539
54,13.492651261824117,0.16691241045006816,75,13.492651261824117
55,24.05874713215044,0.17465721281579624,75,24.05874713215044
56,18.963200666780235,0.16965517537125677,75,18.963200666780235
57,12.832337849693173,0.17143790362213354,75,12.832337849693173
58,18.90087005072295,0.1616178740331471,75,18.90087005072295
59,21.304423930947813,0.16532277641942644,75,21.304423930947813
60,22.931192198236403,0.1688405114844211,75,22.931192198236403
61,18.47335391129812,0.17876505449694677,75,18.47335391129812
62,15.266966696499894,0.15097799609204618,75,15.266966696499894
63,18.09697887686388,0.17334741464713052,75,18.09697887686388
64,20.788250362840962,0.1602028789401385,75,20.788250362840962
65,15.989648632867935,0.1752239723983449,75,15.989648632867935
66,18.31583018651819,0.17365667852399852,75,18.31583018651819
67,19.402574183123907,0.17564146520846727,75,19.402574183123907
68,18.058361581608857,0.16784757269049025,75,18.058361581608857
69,19.24937160299,0.15850006164807917,75,19.24937160299
70,19.26833417857333,0.1772192555849045,75,19.26833417857333
71,14.534655962006804,0.16847431699087503,75,14.534655962006804
72,21.88002783636659,0.1703386594314681,75,21.88002783636659
73,19.783055555232757,0.1784346133729427,75,19.783055555232757
74,20.42087575895278,0.16683220153329575,75,20.42087575895278
75,22.937464294665443,0.15746997022719336,75,22.937464294665443
76,13.77654079625522,0.16842574407387034,75,13.77654079625522
77,20.394944996699415,0.16481566187869795,75,20.394944996699415
78,22.765580792350438,0.16247319949925734,75,22.765580792350438
79,16.206699209322135,0.1707252545044095,75,16.206699209322135
80,16.989481232966813,0.18199716122024495,75,16.989481232966813
81,13.783806589042138,0.15775128675535566,75,13.783806589042138
82,21.137537118348455,0.16145718813581625,75,21.137537118348455
83,17.468308327943134,0.1751598464761697,75,17.468308327943134
84,25.490551219406207,0.1614701812149151,75,25.490551219406207
85,21.92046103311505,0.16718053827363935,75,21.92046103311505
86,16.358490767327897,0.16281063072402327,75,16.358490767327897
87,20.31919683471563,0.16975536551813447,75,20.31919683471563
88,11.774925629811408,0.1744601114627953,75,11.774925629811408
89,19.710268094664706,0.17415306435393774,75,19.710268094664706
90,16.842918113252193,0.17760946230219357,75,16.842918113252193
91,20.869925042523626,0.17739972191495962,75,20.869925042523626
92,17.136248786421316,0.17963886199993565,75,17.136248786421316
93,15.797733923521522,0.1658777847825443,75,15.797733923521522
94,19.45471786527477,0.16008707710804138,75,19.45471786527477
95,16.278922668363794,0.1621635311533577,75,16.278922668363794
96,16.003030374137772,0.17863665886380714,75,16.003030374137772
97,23.820968977557143,0.1611560921367315,75,23.820968977557143
98,18.14847552857989,0.17273915321636055,75,18.14847552857989
99,23.654930765971283,0.1560012599058985,75,23.654930765971283
100,14.891866817150959,0.204394123740145,90,14.891866817150959
101,14.319305132244589,0.21441497903268913,90,14.319305132244589
102,20.295706471881854,0.2133494685933837,90,20.295706471881854
103,23.71376735651955,0.17814498044826407,90,23.71376735651955
104,12.681239341538502,0.22423952219723023,90,12.681239341538502
105,20.770716455939162,0.22882968995484404,90,20.770716455939162
106,13.376297473768206,0.2197677282452919,90,13.376297473768206
