,Test set mean_absolute_error,Training set mean_absolute_error,Training set size,Mean absolute error
0,26.071428571428573,0.0,60,26.071428571428573
1,27.5,0.0,60,27.5
2,22.785714285714285,0.0,60,22.785714285714285
3,16.0,0.0,60,16.0
4,25.76923076923077,0.0,60,25.76923076923077
5,19.923076923076923,0.0,60,19.923076923076923
6,19.384615384615383,0.0,60,19.384615384615383
7,17.23076923076923,0.0,60,17.23076923076923
8,10.153846153846153,0.0,60,10.153846153846153
9,29.153846153846153,0.0,60,29.153846153846153
10,22.642857142857142,0.0,60,22.642857142857142
11,14.714285714285714,0.0,60,14.714285714285714
12,13.714285714285714,0.0,60,13.714285714285714
13,27.76923076923077,0.0,60,27.76923076923077
14,21.53846153846154,0.0,60,21.53846153846154
15,15.0,0.0,60,15.0
16,26.923076923076923,0.0,60,26.923076923076923
17,20.153846153846153,0.0,60,20.153846153846153
18,18.923076923076923,0.0,60,18.923076923076923
19,20.846153846153847,0.0,60,20.846153846153847
20,12.785714285714286,0.0,60,12.785714285714286
21,28.214285714285715,0.0,60,28.214285714285715
22,20.285714285714285,0.0,60,20.285714285714285
23,21.23076923076923,0.0,60,21.23076923076923
24,20.615384615384617,0.0,60,20.615384615384617
25,22.53846153846154,0.0,60,22.53846153846154
26,13.384615384615385,0.0,60,13.384615384615385
27,18.76923076923077,0.0,60,18.76923076923077
28,25.692307692307693,0.0,60,25.692307692307693
29,17.923076923076923,0.0,60,17.923076923076923
30,21.428571428571427,0.0,60,21.428571428571427
31,19.5,0.0,60,19.5
32,23.785714285714285,0.0,60,23.785714285714285
33,25.76923076923077,0.0,60,25.76923076923077
34,21.692307692307693,0.0,60,21.692307692307693
35,12.692307692307692,0.0,60,12.692307692307692
36,32.69230769230769,0.0,60,32.69230769230769
37,16.23076923076923,0.0,60,16.23076923076923
38,18.692307692307693,0.0,60,18.692307692307693
39,16.307692307692307,0.0,60,16.307692307692307
40,22.214285714285715,0.0,60,22.214285714285715
41,14.0,0.0,60,14.0
42,11.785714285714286,0.0,60,11.785714285714286
43,21.307692307692307,0.0,60,21.307692307692307
44,12.76923076923077,0.0,60,12.76923076923077
45,21.23076923076923,0.0,60,21.23076923076923
46,23.692307692307693,0.0,60,23.692307692307693
47,12.461538461538462,0.0,60,12.461538461538462
48,33.84615384615385,0.0,60,33.84615384615385
49,13.846153846153847,0.0,60,13.846153846153847
50,22.357142857142858,0.0,75,22.357142857142858
51,27.214285714285715,0.0,75,27.214285714285715
52,19.285714285714285,0.0,75,19.285714285714285
53,13.615384615384615,0.0,75,13.615384615384615
54,20.76923076923077,0.0,75,20.76923076923077
55,16.53846153846154,0.0,75,16.53846153846154
56,16.153846153846153,0.0,75,16.153846153846153
57,13.153846153846153,0.0,75,13.153846153846153
58,10.23076923076923,0.0,75,10.23076923076923
59,20.076923076923077,0.0,75,20.076923076923077
60,18.642857142857142,0.0,75,18.642857142857142
61,11.071428571428571,0.0,75,11.071428571428571
62,11.571428571428571,0.0,75,11.571428571428571
63,23.615384615384617,0.0,75,23.615384615384617
64,16.076923076923077,0.0,75,16.076923076923077
65,16.53846153846154,0.0,75,16.53846153846154
66,26.23076923076923,0.0,75,26.23076923076923
67,19.0,0.0,75,19.0
68,16.692307692307693,0.0,75,16.692307692307693
69,15.307692307692308,0.0,75,15.307692307692308
70,12.5,0.0,75,12.5
71,19.5,0.0,75,19.5
72,14.071428571428571,0.0,75,14.071428571428571
73,17.23076923076923,0.0,75,17.23076923076923
74,22.23076923076923,0.0,75,22.23076923076923
75,21.46153846153846,0.0,75,21.46153846153846
76,13.461538461538462,0.0,75,13.461538461538462
77,18.53846153846154,0.0,75,18.53846153846154
78,19.53846153846154,0.0,75,19.53846153846154
79,14.153846153846153,0.0,75,14.153846153846153
80,18.428571428571427,0.0,75,18.428571428571427
81,11.857142857142858,0.0,75,11.857142857142858
82,19.0,0.0,75,19.0
83,23.153846153846153,0.0,75,23.153846153846153
84,11.615384615384615,0.0,75,11.615384615384615
85,19.153846153846153,0.0,75,19.153846153846153
86,29.153846153846153,0.0,75,29.153846153846153
87,14.846153846153847,0.0,75,14.846153846153847
88,16.923076923076923,0.0,75,16.923076923076923
89,17.692307692307693,0.0,75,17.692307692307693
90,19.142857142857142,0.0,75,19.142857142857142
91,14.428571428571429,0.0,75,14.428571428571429
92,11.642857142857142,0.0,75,11.642857142857142
93,17.153846153846153,0.0,75,17.153846153846153
94,13.538461538461538,0.0,75,13.538461538461538
95,18.23076923076923,0.0,75,18.23076923076923
96,26.307692307692307,0.0,75,26.307692307692307
97,9.461538461538462,0.0,75,9.461538461538462
98,36.30769230769231,0.0,75,36.30769230769231
99,8.846153846153847,0.0,75,8.846153846153847
100,22.142857142857142,0.0,90,22.142857142857142
101,12.5,0.0,90,12.5
102,16.071428571428573,0.0,90,16.071428571428573
103,9.0,0.0,90,9.0
104,18.0,0.0,90,18.0
105,13.307692307692308,0.0,90,13.307692307692308
106,12.23076923076923,0.0,90,12.23076923076923
107,12.153846153846153,0.0,90,12.153846153846153
108,10.461538461538462,0.0,90,10.461538461538462
109,13.76923076923077,0.0,90,13.76923076923077
110,17.714285714285715,0.0,90,17.714285714285715
111,10.857142857142858,0.0,90,10.857142857142858
112,14.571428571428571,0.0,90,14.571428571428571
113,16.384615384615383,0.0,90,16.384615384615383
114,10.384615384615385,0.0,90,10.384615384615385
115,19.53846153846154,0.0,90,19.53846153846154
116,19.0,0.0,90,19.0
117,14.76923076923077,0.0,90,14.76923076923077
118,11.461538461538462,0.0,90,11.461538461538462
119,14.307692307692308,0.0,90,14.307692307692308
120,14.714285714285714,0.0,90,14.714285714285714
121,22.428571428571427,0.0,90,22.428571428571427
